Symbol
RELIANCE
TCS
HINDUNILVR
HDFCBANK
HDFC
INFY
KOTAKBANK
BHARTIARTL
ITC
ICICIBANK
SBIN
ASIANPAINT
DMART
BAJFINANCE
MARUTI
HCLTECH
LT
WIPRO
AXISBANK
ULTRACEMCO
HDFCLIFE
COALINDIA
ONGC
SUNPHARMA
NTPC
POWERGRID
TITAN
DABUR
IOC
BAJAJFINSV
PIDILITIND
BPCL
HINDZINC
BRITANNIA
SBILIFE
SHREECEM
BAJAJ-AUTO
SBICARD
TECHM
GODREJCP
DIVISLAB
DRREDDY
ICICIPRULI
ADANIPORTS
ICICIGI
BERGEPAINT
HDFCAMC
GSKCONS
INDIGO
SIEMENS
EICHERMOT
MARICO
M&M
JSWSTEEL
MCDOWELL-N
GAIL
CIPLA
COLPAL
DLF
TORNTPHARM
PGHH
BANDHANBNK
BIOCON
HEROMOTOCO
GRASIM
AMBUJACEM
TATASTEEL
HAVELLS
PETRONET
HINDPETRO
YESBANK
ALKEM
BOSCHLTD
CADILAHC
IGL
LUPIN
UPL
NAUKRI
LTI
BANKBARODA
MRF
MUTHOOTFIN
NMDC
INDUSINDBK
UBL
PFC
AUROPHARMA
VEDL
ADANIGREEN
WHIRLPOOL
HONAUT
TATAMOTORS
PNB
HINDALCO
GLAXO
3MINDIA
PEL
KANSAINER
ADANITRANS
CONCOR
NHPC
IDBI
BAJAJHLDNG
ABB
JUBLFOOD
MOTHERSUMI
PAGEIND
TATACONSUM
NIACL
GICRE
PFIZER
ACC
BEL
GILLETTE
IPCALAB
RECLTD
HAL
OFSS
TRENT
RAJESHEXPO
PIIND
SRF
COROMANDEL
GUJGASLTD
APOLLOHOSP
BATAINDIA
VOLTAS
IRCTC
BALKRISIND
VBL
NAM-INDIA
GODREJPROP
ADANIENT
SRTRANSFIN
RELAXO
AUBANK
SANOFI
TVSMOTOR
ASTRAL
MINDTREE
TORNTPOWER
SUNDARMFIN
AARTIIND
AIAENG
CROMPTON
ASHOKLEY
MPHASIS
LTTS
RAMCOCEM
OBEROIRLTY
CHOLAFIN
AJANTPHARM
ZEEL
LICHSGFIN
ATUL
ABFRL
LALPATHLAB
WABCOINDIA
SCHAEFFLER
SUNTV
EXIDEIND
POLYCAB
SUPREMEIND
BHARATFORG
ADANIPOWER
BANKINDIA
MFSL
L&TFH
IDFCFIRSTB
AKZOINDIA
APLLTD
GMRINFRA
CASTROLIND
UNIONBANK
ABCAPITAL
GSPL
SYNGENE
GODREJIND
FORTIS
SAIL
CUB
DALBHARAT
CANBK
AAVAS
SUMICHEM
NATCOPHARM
M&MFIN
CRISIL
CUMMINSIND
OIL
IDEA
ISEC
INDHOTEL
TATAPOWER
IOB
THERMAX
IIFLWAM
PHOENIXLTD
ENDURANCE
JINDALSTEL
HATSUN
SOLARINDS
FEDERALBNK
AMARAJABAT
SJVN
ESCORTS
MGL
MANAPPURAM
VINATIORGA
UCOBANK
EMAMILTD
ZYDUSWELL
MOTILALOFS
SKFINDIA
BHEL
JKCEMENT
GODREJAGRO
JSWENERGY
CENTRALBK
RBLBANK
TTKPRESTIG
PRESTIGE
TATACOMM
VGUARD
METROPOLIS
SIS
MINDAIND
SFL
RITES
SUNDRMFAST
NLCINDIA
PVR
NAVINFLUOR
PGHL
ASTRAZEN
KAJARIACER
FINEORG
JCHAC
GLENMARK
TIMKEN
TATACHEM
ITI
INDIAMART
SYMPHONY
JMFINANCIL
CHOLAHLDNG
NATIONALUM
CESC
DEEPAKNTR
BLUEDART
MAHABANK
TIINDIA
BBTC
ERIS
NH
GRINDWELL
SHRIRAMCIT
GODFRYPHLP
FINPIPE
BASF
CREDITACC
ASTERDM
KEC
AEGISCHEM
UJJIVANSFB
APOLLOTYRE
CHAMBLFERT
BLUESTARCO
VSTIND
RATNAMANI
PERSISTENT
CHALET
CARBORUNIV
GALAXYSURF
ORIENTELEC
DIXON
LINDEINDIA
IBULHSGFIN
JBCHEPHARM
MRPL
AVANTIFEED
HUDCO
FRETAIL
TATAELXSI
AMBER
IEX
ASAHIINDIA
ENGINERSIN
SPANDANA
EIHOTEL
CANFINHOME
KIOCL
GMMPFAUDLR
GRANULES
VTL
EDELWEISS
IRCON
RADICO
COCHINSHIP
LAURUSLABS
NESCO
RALLIS
VIPIND
BDL
JYOTHYLAB
DCMSHRIRAM
TATAINVEST
MIDHANI
FDC
CENTURYTEX
INDIACEM
HEIDELBERG
CEATLTD
BIRLACORPN
GEPIL
POWERINDIA
KRBL
QUESS
FLUOROCHEM
FINCABLES
APLAPOLLO
SUNTECK
BAJAJELEC
GESHIP
SUNCLAYLTD
CERA
CGCL
DCBBANK
NBCC
GPPL
DBL
STAR
MASFIN
KALPATPOWR
STARCEMENT
OMAXE
TEAMLEASE
KNRCON
PNBHOUSING
INOXLEISUR
TV18BRDCST
REDINGTON
RVNL
BRIGADE
INDIANB
THYROCARE
TECHNOE
MAHINDCIE
VMART
GULFOILLUB
SUDARSCHEM
AFFLE
SUVENPHAR
SPARC
CYIENT
GRAPHITE
VAIBHAVGBL
CENTURYPLY
SWANENERGY
EIDPARRY
LAXMIMACH
ALKYLAMINE
MOIL
PNCINFRA
KEI
LUXIND
HATHWAY
FLFL
IIFL
IDFC
CCL
GARFIBRES
MAHSCOOTER
KPRMILL
JKLAKSHMI
TASTYBITE
INDOSTAR
BALRAMCHIN
INFIBEAM
CDSL
BHARATRAS
WELSPUNIND
RESPONIND
TRIDENT
KSCL
CAPLIPOINT
VAKRANGEE
TCIEXP
ICRA
POLYMED
CSBBANK
TCNSBRANDS
SHILPAMED
ZENSARTECH
HINDCOPPER
BAJAJCON
INGERRAND
INDOCO
NETWORK18
SEQUENT
WOCKPHARMA
JUSTDIAL
FSL
TRITURBINE
BEML
RAIN
IRB
HEG
MHRIL
IBREALEST
MMTC
GET&D
UJJIVAN
TATASTLBSL
FMGOETZE
GNFC
ELGIEQUIP
DELTACORP
SCI
LEMONTREE
SONATSOFTW
VARROC
BSOFT
SHOPERSTOP
ESABINDIA
VESUVIUS
GUJALKALI
LAOPALA
MAHLOG
WELCORP
KARURVYSYA
GREAVESCOT
JSWHL
ADVENZYMES
SUPRAJIT
SCHNEIDER
GRSE
RCF
DHANUKA
PRSMJOHNSN
NILKAMAL
KSB
NAVNETEDUL
JINDALSAW
EQUITAS
GSFC
DEN
TCI
RAYMOND
ALLCARGO
ORIENTREF
FCONSUMER
VRLLOG
DBCORP
BALMLAWRIE
ECLERX
JAGRAN
BSE
JKPAPER
MINDACORP
KTKBANK
MAHSEAMLES
ACCELYA
SOBHA
KIRLOSENG
SUPPETRO
SWSOLAR
HSCL
GAEL
GREENLAM
VENKEYS
JSL
AARTIDRUGS
PSPPROJECT
DIAMONDYD
NIITLTD
HFCL
ASHOKA
SOLARA
ARVINDFASN
AHLUCONT
PTC
HGINFRA
PRINCEPIPE
NCC
FACT
TIDEWATER
ITDC
APARINDS
